Date,Close/Last,Volume,Open,High,Low
09/30/2024,$202.05,5747161,$201.00,$204.31,$198.69
09/27/2024,$204.92,4524814,$211.08,$211.33,$204.00
09/26/2024,$209.61,7849767,$210.82,$212.15,$202.50
09/25/2024,$197.31,5060128,$195.29,$200.29,$195.29
09/24/2024,$196.78,4849713,$196.51,$197.85,$193.76
09/23/2024,$194.04,4457925,$194.42,$195.64,$192.69
09/20/2024,$192.16,14306870,$194.35,$195.525,$189.47
09/19/2024,$196.71,7326067,$194.55,$198.33,$192.9101
09/18/2024,$186.14,4266884,$190.76,$191.66,$185.75
09/17/2024,$188.59,4026069,$189.50,$190.499,$185.98
09/16/2024,$187.58,5915836,$185.00,$187.91,$183.14
09/13/2024,$188.47,4851255,$185.30,$188.80,$184.95
09/12/2024,$183.21,8013044,$184.36,$185.13,$180.05
09/11/2024,$185.94,8187051,$180.24,$186.41,$175.41
09/10/2024,$178.05,5367884,$177.97,$178.51,$174.11
09/09/2024,$177.55,7492474,$177.10,$178.55,$174.57
09/06/2024,$174.75,8887931,$179.50,$180.705,$173.39
09/05/2024,$180.24,6494995,$179.04,$183.74,$177.8887
09/04/2024,$182.38,6378129,$179.99,$184.32,$177.43
09/03/2024,$183.37,12163380,$193.08,$194.07,$182.50
08/30/2024,$197.26,7313848,$197.53,$197.84,$192.55
08/29/2024,$192.98,6730335,$196.67,$198.31,$191.67
08/28/2024,$192.89,6412480,$194.68,$196.64,$190.80
08/27/2024,$195.77,6632516,$194.78,$196.80,$191.79
08/26/2024,$196.23,7333916,$200.67,$201.26,$195.15
08/23/2024,$202.67,5296425,$202.16,$205.83,$200.18
08/22/2024,$200.20,6621890,$208.63,$210.34,$199.44
08/21/2024,$209.12,4460528,$208.05,$210.00,$206.5745
08/20/2024,$206.16,4860323,$209.29,$210.5899,$204.35
08/19/2024,$210.94,5285410,$207.00,$211.11,$202.5019
08/16/2024,$207.90,11644580,$204.95,$208.89,$201.18
08/15/2024,$211.83,12073540,$207.31,$213.00,$205.13
08/14/2024,$201.63,5377855,$202.69,$204.81,$197.7267
08/13/2024,$200.80,6198858,$196.44,$201.8342,$193.72
08/12/2024,$193.09,5568060,$191.50,$196.40,$190.35
08/09/2024,$191.18,5050766,$190.01,$193.3181,$188.05
08/08/2024,$190.55,8637080,$185.26,$190.83,$181.185
08/07/2024,$178.51,6652136,$190.00,$191.40,$177.94
08/06/2024,$183.31,5803940,$183.32,$188.51,$180.30
08/05/2024,$181.89,10079130,$175.16,$187.17,$171.61
08/02/2024,$181.81,12991630,$187.87,$189.57,$179.63
08/01/2024,$196.30,11268280,$204.13,$209.08,$192.32
07/31/2024,$212.20,11123670,$206.095,$212.87,$204.50
07/30/2024,$196.74,7652609,$208.26,$209.17,$195.3432
07/29/2024,$205.57,4199228,$208.30,$212.53,$204.89
07/26/2024,$206.47,5208974,$206.99,$208.36,$202.81
07/25/2024,$202.32,9961355,$207.15,$209.21,$200.333
07/24/2024,$206.53,9263428,$217.37,$217.77,$205.53
07/23/2024,$219.65,3635340,$220.45,$221.95,$218.622
07/22/2024,$223.47,7515582,$216.23,$224.09,$213.36
07/19/2024,$210.26,6517081,$217.50,$218.28,$209.67
07/18/2024,$217.65,7715764,$222.15,$222.325,$213.25
07/17/2024,$220.07,10538860,$231.24,$233.32,$219.76
07/16/2024,$245.84,4124766,$246.96,$247.52,$241.94
07/15/2024,$245.55,3674325,$244.52,$248.81,$243.61
07/12/2024,$243.40,5396287,$241.61,$248.77,$240.54
07/11/2024,$241.26,5627387,$255.57,$255.57,$241.10
07/10/2024,$254.97,4258139,$253.00,$255.89,$250.66
07/09/2024,$251.47,4890692,$248.00,$252.13,$247.48
07/08/2024,$246.29,3782098,$243.11,$247.18,$243.11
07/05/2024,$242.59,4076227,$244.69,$244.715,$240.87
07/03/2024,$243.31,2768843,$241.64,$244.72,$239.85
07/02/2024,$240.86,3510604,$235.02,$241.00,$235.02
07/01/2024,$237.41,4239557,$236.86,$238.36,$233.08
06/28/2024,$235.99,6387433,$235.35,$241.29,$233.91
06/27/2024,$232.53,4309553,$237.50,$237.82,$231.80
06/26/2024,$232.17,4818654,$235.00,$236.92,$230.80
06/25/2024,$234.27,4779039,$231.04,$234.55,$228.54
06/24/2024,$229.84,5928654,$233.00,$235.41,$229.4301
06/21/2024,$235.41,15389140,$238.32,$238.48,$232.83
06/20/2024,$239.99,7045020,$247.00,$247.83,$238.655
06/18/2024,$247.83,5256914,$242.78,$249.42,$242.09
06/17/2024,$242.86,4974631,$236.67,$243.28,$236.27
06/14/2024,$237.03,3306544,$234.08,$238.26,$233.615
06/13/2024,$237.55,3682407,$231.47,$238.36,$231.42
06/12/2024,$237.65,5573488,$231.43,$238.40,$230.775
06/11/2024,$229.97,4768588,$227.27,$230.07,$224.635
06/10/2024,$228.16,4797863,$219.71,$228.83,$219.63
06/07/2024,$221.73,3627235,$224.21,$224.55,$220.08
06/06/2024,$221.75,3951234,$221.67,$223.255,$219.02
06/05/2024,$223.37,7887926,$219.60,$224.72,$218.19
06/04/2024,$212.22,4379643,$213.80,$214.345,$209.03
06/03/2024,$214.21,3828092,$218.325,$218.35,$208.93
05/31/2024,$215.08,13548690,$216.75,$218.51,$209.015
05/30/2024,$216.54,4062500,$217.97,$219.69,$215.4976
05/29/2024,$219.05,4718791,$217.59,$220.65,$217.16
05/28/2024,$221.32,5509381,$222.15,$223.2214,$219.88
05/24/2024,$220.89,3795707,$220.195,$223.12,$218.64
05/23/2024,$217.95,5806608,$225.00,$225.07,$216.33
05/22/2024,$218.15,5046958,$220.52,$220.73,$216.23
05/21/2024,$219.80,3918174,$218.00,$220.26,$215.81
05/20/2024,$219.95,5954459,$212.15,$221.75,$212.11
05/17/2024,$212.08,8031759,$216.40,$219.36,$210.23
05/16/2024,$214.03,7977854,$218.22,$218.75,$213.92
05/15/2024,$217.49,5820884,$212.50,$217.61,$210.85
05/14/2024,$209.82,3442176,$205.84,$210.10,$204.7132
05/13/2024,$206.63,3526900,$208.40,$208.47,$205.44
05/10/2024,$209.73,3502906,$208.80,$212.57,$208.52
05/09/2024,$206.33,2758265,$207.36,$208.25,$205.715
05/08/2024,$207.36,2932311,$205.91,$207.96,$204.75
05/07/2024,$207.32,3200852,$209.24,$209.47,$207.22
05/06/2024,$208.86,3638517,$205.31,$209.18,$204.30
05/03/2024,$204.09,3818510,$202.00,$205.27,$199.95
05/02/2024,$197.91,3523223,$196.26,$198.475,$193.28
05/01/2024,$193.99,5815491,$196.08,$200.6848,$192.69
04/30/2024,$198.65,3898216,$203.67,$205.83,$198.57
04/29/2024,$205.26,2789205,$203.51,$205.29,$201.7779
04/26/2024,$203.38,3933453,$197.03,$203.99,$197.03
04/25/2024,$197.50,4238321,$196.28,$198.4519,$193.60
04/24/2024,$196.06,4609370,$197.99,$199.36,$192.72
04/23/2024,$193.24,4425871,$190.25,$194.50,$189.97
04/22/2024,$189.46,7149843,$191.55,$191.78,$186.855
04/19/2024,$189.77,6495228,$194.26,$194.69,$188.16
04/18/2024,$194.32,6219358,$197.47,$198.415,$193.52
04/17/2024,$199.89,6350323,$206.09,$207.00,$198.10
04/16/2024,$209.48,3749231,$206.34,$210.42,$205.75
04/15/2024,$205.68,4492462,$211.90,$214.46,$204.271
04/12/2024,$207.86,5854777,$208.00,$209.95,$206.91
04/11/2024,$212.98,4291584,$209.46,$213.33,$208.36
04/10/2024,$209.25,4645392,$208.89,$211.66,$208.12
04/09/2024,$210.41,3660112,$211.35,$212.0999,$207.63
04/08/2024,$209.04,4435533,$212.86,$213.00,$208.13
04/05/2024,$207.85,3330679,$204.90,$209.53,$204.90
04/04/2024,$203.39,6242827,$211.61,$213.04,$201.67
04/03/2024,$207.38,3375590,$203.60,$209.1522,$203.50
04/02/2024,$206.11,4311377,$206.58,$206.58,$203.40
04/01/2024,$208.69,3189699,$206.93,$211.77,$205.96
03/28/2024,$206.23,5750078,$207.56,$207.65,$202.71
03/27/2024,$208.00,3123889,$208.04,$208.4857,$203.90
03/26/2024,$206.67,3607375,$209.79,$211.21,$206.57
03/25/2024,$208.46,3137632,$207.63,$211.31,$207.35
03/22/2024,$210.25,3829346,$208.508,$211.72,$208.43
03/21/2024,$210.80,6145205,$213.37,$214.91,$210.3562
03/20/2024,$205.06,4277964,$201.00,$205.92,$198.7959
03/19/2024,$201.34,4624515,$199.18,$201.55,$197.30
03/18/2024,$200.73,5062323,$201.68,$203.17,$199.63
03/15/2024,$198.65,9936353,$199.44,$201.2799,$197.0001
03/14/2024,$200.75,4934914,$201.93,$202.40,$199.05
03/13/2024,$200.56,5050329,$202.97,$203.8799,$199.94
03/12/2024,$204.94,7211325,$203.88,$205.01,$199.34
03/11/2024,$201.37,6566567,$203.28,$203.28,$197.61
03/08/2024,$205.56,6940770,$212.48,$213.5954,$205.39
03/07/2024,$212.61,6363079,$213.23,$214.255,$211.51
03/06/2024,$212.17,5642363,$209.95,$213.5101,$209.13
03/05/2024,$207.39,6100185,$207.75,$210.76,$204.78
03/04/2024,$209.49,7089834,$212.00,$213.37,$209.035
03/01/2024,$210.25,7647353,$203.77,$211.38,$203.555
02/29/2024,$201.62,9449578,$199.91,$202.00,$197.26
02/28/2024,$197.54,6207904,$198.49,$199.18,$196.49
02/27/2024,$202.86,5167118,$203.73,$204.44,$201.22
02/26/2024,$203.55,6466592,$199.80,$203.99,$199.13
02/23/2024,$197.16,5108090,$199.32,$201.34,$196.61
02/22/2024,$199.73,10225920,$198.28,$201.55,$196.67
02/21/2024,$190.33,6994439,$187.92,$190.37,$185.89
02/20/2024,$189.14,11216100,$195.585,$195.86,$186.12
02/16/2024,$199.57,15557860,$202.02,$206.77,$197.30
02/15/2024,$187.66,8622946,$189.00,$189.47,$186.38
02/14/2024,$186.19,8437858,$182.64,$186.98,$182.64
02/13/2024,$180.31,9692463,$178.60,$182.1864,$176.94
02/12/2024,$185.54,7085353,$185.27,$188.21,$184.64
02/09/2024,$185.84,9539890,$179.04,$186.15,$178.61
02/08/2024,$173.89,7327895,$169.99,$175.00,$169.38
02/07/2024,$170.90,5103354,$170.49,$172.91,$168.8346
02/06/2024,$168.70,4550248,$170.99,$172.71,$167.5001
02/05/2024,$171.09,5749118,$168.60,$172.28,$168.28
02/02/2024,$168.18,4741027,$165.92,$169.175,$165.46
02/01/2024,$166.97,4082620,$165.455,$167.74,$164.83
01/31/2024,$164.30,6049403,$164.00,$166.615,$160.96
01/30/2024,$166.24,5255325,$167.33,$169.17,$165.82
